state,rate_2019,rate_2024,pct_change_2019_2024
NJ,28.4,16.5,-42
OH,31.5,20.1,-36
MA,28.9,18.5,-36
NH,29.1,18.7,-36
MD,34.0,22.4,-34
DE,43.0,28.9,-33
PA,25.1,18.0,-28
CT,31.7,22.9,-28
MI,18.5,13.5,-27
FL,18.7,14.6,-22
MO,18.8,15.3,-19
IL,17.5,14.3,-18
WI,16.6,14.0,-16
RI,23.3,20.1,-14
AR,7.0,6.2,-11
VA,15.1,13.5,-11
IN,19.9,17.8,-11
NE,3.6,3.3,-8
WV,41.4,38.6,-7
KY,24.6,23.4,-5
DC,33.7,34.1,1
UT,13.3,13.6,2
IA,5.4,5.8,7
ME,26.4,28.6,8
NY,14.9,16.5,11
TN,23.4,26.1,12
NC,18.1,20.2,12
SC,17.6,20.2,15
SD,4.5,5.4,20
NM,20.0,24.1,21
AZ,18.4,23.0,25
WY,8.3,10.4,25
MT,7.2,9.3,29
MS,8.5,11.0,29
LA,12.6,16.8,33
VT,20.7,29.0,40
GA,8.2,11.7,43
ID,7.6,11.0,45
CO,10.6,16.0,51
MN,7.8,11.9,53
TX,5.1,7.8,53
ND,5.9,9.4,59
CA,7.9,13.5,71
KS,6.7,12.5,87
AL,8.9,17.3,94
NV,11.7,23.9,104
OK,6.9,15.3,122
HI,3.5,8.2,134
WA,10.5,30.2,188
OR,7.6,24.8,226
AK,10.9,37.0,239
